[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,90,53
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,91,53
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,92,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,93,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,94,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,95,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,96,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,97,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,98,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,99,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,100,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,101,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,102,52
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,103,51
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,104,51
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,105,51
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,106,51
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,107,51
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,108,50
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,109,50
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,110,48
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,111,48
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,112,48
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,113,48
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,114,48
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,115,48
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,116,47
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,117,47
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,118,47
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,119,46
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,120,46
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,121,45
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,122,45
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,123,45
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,124,45
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,125,44
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,126,43
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,127,43
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,128,43
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,129,43
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,130,41
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,131,41
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,132,41
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,133,41
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,134,41
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,135,41
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,136,40
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,137,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,138,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,139,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,140,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,141,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,142,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,143,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,144,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,145,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,146,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,147,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,148,39
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,149,37
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,150,37
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,151,37
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,152,37
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,153,36
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,154,36
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,155,36
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,156,35
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,157,35
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,158,35
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,159,35
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,160,35
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,161,34
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,162,34
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,163,34
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,164,34
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,165,33
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,166,33
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,167,33
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,168,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,169,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,170,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,171,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,172,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,173,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,174,32
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,175,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,176,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,177,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,178,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,179,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,180,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,181,31
1,100,8,8,40,15,7,26,false,5,false,30,true,3,true,182,31
