[run number],energia_inicial,lixo_normal,nAssassinos,energ_alimento,alimento,limiteResiduos,nComiloes,assassinos?,lixo_toxico,mostrarCargaDeposito?,nLimpadores,mostra_energia?,n_depositos,mostra_carga?,[step],count turtles
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,90,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,91,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,92,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,93,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,94,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,95,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,96,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,97,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,98,32
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,99,31
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,100,28
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,101,28
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,102,28
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,103,28
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,104,26
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,105,26
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,106,26
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,107,24
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,108,24
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,109,24
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,110,24
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,111,24
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,112,24
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,113,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,114,23
1,100,8,8,40,15,7,26,true,5,false,30,true,3,true,115,23
